SIGLA	DISCIPLINA	TPI	RECOMENDAÇÃO	EMENTA	BIBLIOGRAFIA BÁSICA	BIBLIOGRAFIA COMPLEMENTAR
ESHR022-14	Abordagens Tradicionais das Relações Internacionais	4-0-4	Não há	Contextualização histórica da emergência das teorias de relações internacionais. Matrizes filosóficas. Realismo. Idealismo. Debate clássico realismo versus idealismo. Escola inglesa. Behaviorismo. Debate metodológico. Neoliberalismo. Neorrealismo. Teoria da interdependência complexa. Neoinstitucionalismo. Cooperação e conflito. Sociedade internacional, anarquia. Regimes internacionais.	"CARR, Edward Hallett. Vinte anos de crise 1919-1939: uma introdução ao estudo das Relações Internacionais. São Paulo; Brasília: Imprensa Oficial do Estado; Ed. UNB, 2001.
KEOHANE, Robert O.; NYE, Joseph S. Power and Interdependence. Glenview: Scott Foresman, 1989.
KRASNER, Stephen (Ed). International Regimes. Ithaca; London: Cornell University Press, 1983.
MORGENTHAU, Hans J. A Política entre as Nações: a luta pelo poder e pela paz. São Paulo; Brasília: Imprensa Oficial do Estado; Ed. UNB, 2003.
WALTZ, Kenneth N. Teoria das Relações Internacionais. Lisboa: Gradiva, 2002."	"ARON, Raymond. Paz e Guerra entre as Nações. São Paulo; Brasília: Imprensa Oficial do Estado; Ed. UNB, 2002.
BULL, Hedley. A Sociedade Anárquica: um estudo da ordem na política mundial. São Paulo; Brasília: Imprensa Oficial do Estado; Ed. UNB, 2002.
JACKSON, Robert; SORENSEN, Georg. Introdução às Relações Internacionais: teorias e abordagens. Rio de Janeiro: Jorge Zahar Ed., 2007.
NOGUEIRA, João Pontes; MESSARI, Nizar. Teorias das Relações Internacionais: correntes e debates. Rio de Janeiro: Campus, 2005.
RAMALHO DA ROCHA, Antônio Jorge. Relações Internacionais: teorias e agenda. Brasília: FUNAG; IBRI, 2002. ISBN: 85-88270-09-9"
ESZM035-17	Aditivação de Polímeros	4-0-4	Síntese de Polímeros; Materiais Poliméricos	Tipos de aditivos e métodos para obtenção de formulação polimérica. Degradação e estabilização de polímeros. Plastificantes, lubrificantes, antiestáticos, retardantes de chama, colorantes, agentes nucleantes, clarificantes e espumantes. Cargas. Mecanismos de atuação dos aditivos.	"RABELLO, M., Aditivação de Polímeros, São Paulo, SP : Artliber, 2000.
BART, J.C.J, Additives in Polymer : industrial analysis and applications,,Chichester, GBR : Wiley, 2005.
KOO, J.H. Polymer nanocomposites : processing, characterization, and applications, New York, USA : MCGRAW-HILL PROFESSIONAL, c2006."	"GATCHTER and MULLER, “Plastics Additives”, Hanser Publishers, New York, 1984. ZWEIFEL, Hans, Plastics Additives Handbook, Hanser, 2000.
SPERLING, L. H., Introduction to Physical Polymer Science, John Wiley & Sons, New York, 1992. YOUNG, R.J. ; Lovell, P.A.. Introductionto polymers, CRCPress, 2th edition, London:, 1991.
S. V. Canevarolo Jr.,Ciência dos Polímeros, Artliber, São Paulo, 2002."
ESZP041-14	Administração Pública e Reforma do Estado em Perspectiva Comparada	4-0-4	Não há	Estado, política e administração pública; Crise e reforma do Estado: as diversas respostas; A Nova Gestão Pública; Formas de responsabilização e accountability da administração pública; A experiência internacional da reforma do Estado; As experiências brasileiras da reforma do Estado; A agenda atual.	"BRESSER-PEREIRA, L. C. (1998). Reforma do estado para a Cidadania: a reforma gerencial brasileira na perspectiva internacional. São Paulo: Editora 34; Brasília: ENAP
NUNES, Edson e outros. Agências reguladoras e reforma do estado no brasil – inovação e continuidade no sistema político-institucional. Editora Garamond .
PETERS, Guy. La política de la burocracia. Fondo de Cultura."	"ABRUCIO, Fernando Luiz; LOUREIRO, Maria Rita (2005). Finanças Públicas, Democracia e Accountability. In: Ciro Biderman e Paulo Arvate, orgs. (2005) Economia do Setor Público. Rio de Janeiro: Editora Campus: 75-102.
OLIVIERI, Cecilia. A lógica política do controle interno. Editora Annablume. PAULA, Ana Paula Paes de. Por uma nova gestão pública. Editora FGV, 2008.
STARLING, Heloisa Maria Murgel Starling; AVRITZER L. e outros. Corrupção – ensaios e críticas. Editora da UFMG.
TORRES, Marcelo Douglas. Estado, Democracia e Administração Pública. Editora FGV, 2004."
ESTS016-17	Aerodinâmica I	4-0-5	Dinâmica de Gases	Força de Sustenção e arrasto; Teoria do perfil delgado; Condição de Kutta-Jukowiski; Método da superposição de singularidades (fontes, sorvedouros, dipolos e vórtices); Transformação conforme; Solução numérica: método dos painéis. Teoria dos perfis NACA. Esteira, descolamento de camada limite e efeitos da turbulência. Introdução à teoria de asas tridimensionais, via teoria da linha de sustentação.	"ANDERSON, J. D. Fundamentals of Aerodynamics. 4. ed. Boston: McGraw-Hill, 2007.
HOUGHTON, E. L.; Carpenter, P. W. Aerodynamics for Engineering Students. Boston: Butterworth-Heinemann, 2001.
KATZ, J.; PLOTKIN, A. Low Speedy Aerodynamics. 2. ed. Cambridge: Cambridge University Press, 2001."	"KARAMCHETI, K. Principles of Ideal-Fluid Aerodynamics. 2. ed. Melbourne, FL: Krieger Publishing Company, 1980.
BERTIN, J. J.; CUMMINGS, R. M. Aerodynamics for Engineers. 5. ed. New Jersey: Prentice Hall, 2008.
DRAGOS, L. Mathematical Methods in Aerodynamics. Amsterdam: Springer, 2004.
MILNE-THOMSON, L. M. Theoretical Aerodynamics. New York: Dover Publications, 1973.
BARNARD, R. H. Road Vehicle Aerodynamic Design: An Introduction. Hertfordshire, UK: Mechaero Publishing, 2001."
ESZS019-17	Aerodinâmica II	4-0-5	Aerodinâmica I	Física do escoamento subsônico e hipersônico. Equações de governo do escoamento no contexto da teoria do potencial e sua linearização. Método da linha de sustentação. Método da superfície de sustentação. Técnicas de análise de escoamento hipersônico.	"ANDERSON J. D. Hypersonic and High Temperature Gas Dynamics. 2. ed. Reston, VA: AIAA, 2006. (Education Series).
BERTIN, J. J.; CUMMINGS, R. M. Aerodynamics for Engineers. 5. ed. New Jersey: Prentice Hall, 2008.
ABBOTT, I. H.; VON DOENHOFF, A. E. Theory of Wing Sections. New York: Dover Publications, 1959."	"J. CHATTOT J. J. Computational Aerodynamics and Fluid Dynamics. New York: Springer, 2004.
LEISHMAN, J. G. Principles of Helicopter Aerodynamics. 2. ed. New York: Cambridge University Press, 2006.
SHYY, W.; LIAN, Y.; TANG, J.; VIEERU, D.; LIU H. Aerodynamics of Low Reynolds Number Flyers. New York: Cambridge University Press, 2007.
DRAGOS L. Mathematical Methods in Aerodynamics. New York: Springer, 2004.
MILNE-THOMSON, L. M. Theoretical Aerodynamics, New York: Dover Publications, 1973."
ESTS012-17	Aeroelasticidade	4-0-5	Aerodinâmica I; Vibrações; Mecânica dos Sólidos I; Métodos Computacionais para Análise Estrutural	Comportamento aeroelástico de veículos aeroespaciais e outras estruturas. Elasticidade estática e seu impacto no desempenho de superfícies de sustentação. Conceitos fundamentais de aerodinâmica não estacionaria e técnicas computacionais modernas. Aeroelasticidade dinâmica (flutter) de uma seção típica e de uma asa de um veículo aeroespacial.	"WRIGHT, J. R.; COOPER, J. E. INTRODUCTION TO AIRCRAFT AEROELASTICITY AND LOADS. VIRGINIA, EUA: AIAA EDUCATION SERIES, 2008.
HODGES, D. H.; PIERCE, G. A. Introduction to Structural Dynamics and Aeroelasticity. Cambridge: Cambridge University Press, 2002.
BISPLINGHOFF, R. L.; ASHLEY, H. Principles of Aeroelasticity. New York: Dover Publications, 2002."	"BISPLINGHOFF, R. L.; ASHLEY, H.; HALFMAN, R. L. Aeroelasticity. New York: Dover Publications, 1996.
DOWELL, E.H. A Modern Course in Aeroelasticity (Solid Mechanics and Its Applications). 4. ed. New York: Springer-Verlag, 2008.
FUNG, Y. C. AN INTRODUCTION TO THE THEORY OF AEROELASTICITY. NEW YKRK: DOVER PUBLICATIONS, 2008.
BISMARCK-NASR, M. N. Structural Dynamics in Aeronautical Engineering. Reston, VA: AIAA, 1999. (Education Series).
WRIGHT, J. R.; COOPER, J. E. Introduction to Aircraft Aeroelasticity and Loads. AIAA Education Series. New York: John Wiley & Sons, 2008."
ESTS002-17	Aeronáutica I-A	4-0-4	Não há	Conhecimentos técnicos sobre aviões: Anatomia do avião, sistemas e instrumentos de voo; princípios de operação do grupo moto propulsor; limitações e informações operacionais. Teoria de voo: Princípios de voo de aviões; introdução à aerodinâmica; noções de desempenho e limitações humanas. Dispositivos de comandos de voo; fases de voos; estabilidade do voo.	"HOMA, J. M. Aeronaves e Motores - Conhecimentos Técnicos. São Paulo: Editora Asa, 2008.
SAINTIVE, N. S. Teoria de Voo. São Paulo: Editora Asa, 2001.(disponível na UFABC).
THEODORE, A. Introduction to the Aerodynamics of Flight, NASA SP-367, 1975. disponível em: <http://ntrs.nasa.gov/archive/nasa/casi.ntrs.nasa.gov/19760003955_1976003955.pdf>."	"HOMA, J. M. Aerodinâmica e Teoria de Voo. São Paulo: Editora Asa, 2009.
ANDERSON, J. D., Introduction to Flight, 6ª Edição, McGraw-Hill, 2008.
RAYMER, D. P. Aircraft Design: A Conceptual Approach. 3. ed. Reston, VA: AIAA, 1999. (Education Series).
STINTON, D. The Design of the Airplane. 2, ed, Oxford: Wiley-Blackwell, 2001.
TORENBEEK, E.; WITTENBERG, H., Flight Physics : Essentials of Aeronautical Disciplines and Technology, with Historical Notes, Springer, 2009."
ESZS001-17	Aeronáutica I-B	4-0-4	Não há	Conhecimentos técnicos sobre helicópteros: anatomia do helicóptero, sistemas e instrumentos de voo; princípios de operação do grupo moto propulsor; limitações e informações operacionais. Teoria de voo: Princípios de voo de aeronaves de asas rotativas; introdução à aerodinâmica de helicópteros.	"SILVA, P.R. Helicóptero – Conhecimentos Técnicos – Noções Fundamentais. São Paulo: Editora Asa, 2000.
WAGTENDONK, W.J. Principles of Helicopter Flight. 2. ed. Newcastle: Aviation Supplies & Academics, 2006.
SEDDON, J.; NEWMAN, S. Basic Helicopter Aerodynamics. 2. ed. Reston, VA: AIAA; Blackwell Science, 2001. (Education Series)"	"COYLE, S. The Art and Science of Flying Helicopters. Ames: Iowa State University Press, 1996.
FAY, J. The Helicopter – History, Piloting and How It Flies. 3. ed. Devon: David & Charles LTC, 1976.
WELCH, J.F, SICKLE'S, V. Modern Airmanship. New York: McGraw-Hill Professional, 1999.
JOHNSON, W. Helicopter Theory. Mincola: Dover Publications, 1994.
LEISHMAN, J.G. Principles of Helicopter Aerodynamics. 2. ed. Cambridge: Cambridge Aerospace Series, 2006."
ESZS002-17	Aeronáutica II	3-1-4	Aeronáutica I-A	Regulamentação aeronáutica: regras do ar; regras de voo visual; serviços de tráfego aéreo; fraseologia. Meteorologia: introdução à meteorologia; meteorologia aeronáutica; informações meteorológicas. Navegação aérea: aspectos práticos da navegação aérea e técnicas de navegação estimada; utilização de cartas aeronáuticas. Planejamento de voo e procedimentos operacionais: utilização dos sites de Consulta de Informações Aeronáuticas (AIS WEB) e da Rede de Meteorologia do Comando da Aeronáutica (REDEMET).	"MINISTÉRIO DA DEFESA, COMANDO DA AERONÁUTICA, ICA 100-12, Regras do Ar e Serviços de Tráfego Aéreo, 2006. Disponível em: <http://www.aisweb.aer.mil.br/aisweb_files/publicacoes/ica/ica_100-012_160206.pdf>.
BANCI, D. Meteorologia para Aviação. Barueri, SP: Editora Traça, 2008.
ROOS, T. Navegação Visual e Estimada. Apostila 15. ed. Goiânia, GO: Aeroclube de Goiás, 2008."	"Bibliografia Complementar
ABEYRATNE, R., Air Navigation Law, Springer, 2012.
WELCH, J.F, SICKLE'S, V. Modern Airmanship. New York: McGraw-Hill Professional, 1999.
AIP BRASIL – Publicação de Informação Aeronáutica, Departamento de Controle do Espaço Aéreo. Disponível em: <http://www.aisweb.aer.mil.br/aisweb/>.
MINISTÉRIO DA DEFESA, COMANDO DA AERONÁUTICA, FCA-105-2, Código Meteorológico TAF, 2009. Disponível em: <http://www.redemet.aer.mil.br/Publicacoes/fca105-2.pdf>.
MINISTÉRIO DA DEFESA, COMANDO DA AERONÁUTICA, FCA-105-3, Códigos Meteorológicos METAR e SPECI, 2008. Disponível em: <http://www.redemet. aer.mil.br/Publicacoes/fca105- 3.pdf>.
MINISTÉRIO DA DEFESA, COMANDO DA AERONÁUTICA, FCA-105-12, Fraseologia Volmet, 2009. Disponível em: < http://www.redemet.aer.mil.br/Publicacoes/ica105-12.pdf>."
MCTB001-17	Álgebra Linear	6-0-5	Geometria Analítica	Sistemas de Equações Lineares: Sistemas e matrizes. Matrizes escalonadas. Sistemas homogêneos. Posto e Nulidade de uma matriz. Determinantes. Espaço Vetorial: Definição e exemplos. Subespaços vetoriais. Combinação linear. Dependência e independência linear. Base de um espaço vetorial e mudança de base. Produto interno. Transformações Lineares: Definição de transformação linear e exemplos. Núcleo e imagem de uma transformação linear. Transformações lineares e matrizes. Matriz mudança de base. Autovalores e Autovetores: Polinômio característico. Base de autovetores. Diagonalização de operadores. 	"ANTON, H.; RORRES, C. Álgebra Linear com Aplicações. 8. ed. Porto Alegre: Bookman, 2001.
APOSTOL, T. M. Cálculo II: cálculo com funções de várias variáveis e álgebra linear, com aplicações às equações diferenciais e às probabilidades. Waltham: Reverté, 1996.
BOLDRINI, J. L.; COSTA, S. L. R.; FIGUEIREDO, V. L.; WETZLER, H. G. Álgebra Linear. 3. ed. São Paulo: Harbra, 1986."	"AXLER, S. Linear Algebra Done Right. 3rd ed. New York: Springer-Verlag, 2015.
CALLIOLI, C. A.; DOMINGUES, H. H.; COSTA, R. C. F. Álgebra Linear e Aplicações. 6. ed. São Paulo: Atual, 1990.
COELHO, F. U.; LOURENÇO, M. L. Um curso de Álgebra Linear. 2. ed. São Paulo: Edusp, 2005.
HOFFMAN, K.; KUNZE, R. A. Linear Algebra. 2nd ed. Upper Saddle River: Prentice Hall, 1971.
LANG, S. Linear Algebra. 3rd ed. New York: Springer-Verlag, 1987.
LIMA, E. L. Álgebra Linear. 7. ed. Rio de Janeiro: IMPA, 2003."
