Sigla	Disciplina	TPI	Recomendação	Ementa	Bibliografia Básica	Bibliografia Complementar
ESHR022-14	Abordagens Tradicionais das Relações Internacionais	4-0-4	Não há	Contextualização histórica da emergência das teorias de relações internacionais. Matrizes filosóficas. Realismo. Idealismo. Debate clássico realismo versus idealismo. Escola inglesa. Behaviorismo. Debate metodológico. Neoliberalismo. Neorrealismo. Teoria da interdependência complexa. Neoinstitucionalismo. Cooperação e conflito. Sociedade internacional, anarquia. Regimes internacionais.	"CARR, Edward Hallett. Vinte anos de crise 1919-1939: uma introdução ao estudo das Relações Internacionais. São Paulo; Brasília: Imprensa Oficial do Estado; Ed. UNB, 2001.
KEOHANE, Robert O.; NYE, Joseph S. Power and Interdependence. Glenview: Scott Foresman, 1989.
KRASNER, Stephen (Ed). International Regimes. Ithaca; London: Cornell University Press, 1983.
MORGENTHAU, Hans J. A Política entre as Nações: a luta pelo poder e pela paz. São Paulo; Brasília: Imprensa Oficial do Estado; Ed. UNB, 2003.
WALTZ, Kenneth N. Teoria das Relações Internacionais. Lisboa: Gradiva, 2002."	"ARON, Raymond. Paz e Guerra entre as Nações. São Paulo; Brasília: Imprensa Oficial do Estado; Ed. UNB, 2002.
BULL, Hedley. A Sociedade Anárquica: um estudo da ordem na política mundial. São Paulo; Brasília: Imprensa Oficial do Estado; Ed. UNB, 2002.
JACKSON, Robert; SORENSEN, Georg. Introdução às Relações Internacionais: teorias e abordagens. Rio de Janeiro: Jorge Zahar Ed., 2007.
NOGUEIRA, João Pontes; MESSARI, Nizar. Teorias das Relações Internacionais: correntes e debates. Rio de Janeiro: Campus, 2005.
RAMALHO DA ROCHA, Antônio Jorge. Relações Internacionais: teorias e agenda. Brasília: FUNAG; IBRI, 2002. ISBN: 85-88270-09-9"
ESTA012-13	Acionamentos Elétricos	3-2-4	Máquinas Elétricas	Introdução aos sistemas de acionamentos elétricos; elementos de um sistema de acionamento elétrico; ponto de operação e estabilidade; operação motora e frenante de um sistema de acionamento; perdas no acionamento elétrico; operação e controle de máquinas de corrente alternada com tensão e freqüência variáveis para acionamentos elétricos; conversores de freqüência alimentados por tensão; algoritmos de geração de sinais PWM; simulação de acionamentos de potência: diodo, tiristor, GTO, transistor bipolar de potência, MOSFET e IGBT.	"FRANCHI, Claiton Moro. Acionamentos elétricos. 4 ed. São Paulo: Érica, 2008. 250 p.
MURPHY, J.M.; TURNBULL, F.G. Power electronic control of AC motors. Oxford: Pergamon, 1988. 524 p."	BOSE, Bimal. Power electronics and motor drives: advances and trends. California: Elsevier, c2006. 917 p.
ESZE002-13	Acumuladores de Energia	2-0-5	Energia: Origens, Conversão e Uso	Acumulação de energia por fotossínteses. Fluxos de energia nos ecossistemas. Características da lenha. Características do carvão vegetal. Acumulação de combustíveis fósseis. Origem do petróleo. Propriedades básicas dos reservatórios. Armazenamento de combustíveis em tanques. Acumulação de energia cinética e potencial. Molas. Acumuladores hidráulicos. Volantes de inércia. Acumuladores térmicos. Acumuladores de calor de baixa, moderada e elevada temperatura.acumuladores por mudança de fase. Caixas de rochas. Paredes de acumulação. Aquecimento de água. Acumuladores de energia elétrica. Ar comprimido. Acumulação bombeada. Flywheels. Baterias eletroquímicas. Armazenagem de energia em supercondutores e supercapacitores. Acumulação de energia em forma de hidrogênio. Tecnologias de produção de hidrogênio. Métodos de armazenamento de hidrogênio. Problemas e exercícios práticos.	"ODUM, Eugene P. Fundamentos de ecologia. 7ª edição. Lisboa: Fundação CalousteGulbenkian, 2004, 927 p.
CARDOSO, Luiz Cláudio dos Santos. Logística do petróleo: transporte e armazenamento. 1ª edição. Rio de Janeiro: Interciência. 2004, 192 p.
SERRA, Eduardo T. et al. Células a combustível: uma alternativa para geração de energia e sua inserção no mercado brasileiro. 1ª edição. Rio de Janeiro: Centro de Pesquisas de Energia Elétrica, CEPEL, 2005, 186 p."	"ASIMOV, Isaac. Fotosíntesis. Madrid: Edicionesorbis S. A., Biblioteca de Divulgación Científica MuyInteresante, 1985, 256 p.
CORTEZ, Luís Augusto Barbosa; SILVA LORA, Electo Eduardo; OLIVARES GÓMEZ, Edgardo. Biomassa para energia. 1ª edição. Campinas: Editora UNICAMP, 2008, 734 p.
GARCIA, Roberto. Combustíveis e combustão industrial. 1ª edição. Rio de Janeiro: Interciência, 2002, 202 p.
PIMENTEL, David; PIMENTEL, Márcia H. Alimentação, energia e sociedade. Lisboa: Serviço de Educação, Fundação CalousteGulbenkian, 1990, 301 p.
RICKLEFS, Robert E. A Economia da natureza. 5ª edição. Rio de Janeiro: Editora Guanabara-Koogan, 2003, 503 p.
DUFFIE, John A.; BECKMAN, William A. Solar engineering of thermal processes. 3a edição.  EUA: John Wiley& Sons, 2006, 898 p.
LEJARDI, Lionel. Acumuladores de electricidad: manual práctico. Espanha: Promotora General de Estudios S. A., PROGENSA, 1988, 321 p.
SORENSEN, Bent. Renewable energy. 3ª edição. EUA: Elsevier Inc., 2004, 928 p."
ESZP041-14	Administração Pública e Reforma do Estado em Perspectiva Comparada	4-0-4	Não há	Estado, política e administração pública; Crise e reforma do Estado: as diversas respostas; A Nova Gestão Pública; Formas de responsabilização e accountability da administração pública; A experiência internacional da reforma do Estado; As experiências brasileiras da reforma do Estado; A agenda atual.	"BRESSER-PEREIRA, L. C. (1998). Reforma do estado para a Cidadania: a reforma gerencial brasileira na perspectiva internacional. São Paulo: Editora 34; Brasília: ENAP
NUNES, Edson e outros. Agências reguladoras e reforma do estado no brasil – inovação e continuidade no sistema político-institucional. Editora Garamond .
PETERS, Guy. La política de la burocracia. Fondo de Cultura."	"ABRUCIO, Fernando Luiz; LOUREIRO, Maria Rita (2005). Finanças Públicas, Democracia e Accountability. In: Ciro Biderman e Paulo Arvate, orgs. (2005) Economia do Setor Público. Rio de Janeiro: Editora Campus: 75-102.
OLIVIERI, Cecilia. A lógica política do controle interno. Editora Annablume. PAULA, Ana Paula Paes de. Por uma nova gestão pública. Editora FGV, 2008.
STARLING, Heloisa Maria Murgel Starling; AVRITZER L. e outros. Corrupção – ensaios e críticas. Editora da UFMG.
TORRES, Marcelo Douglas. Estado, Democracia e Administração Pública. Editora FGV, 2004."
ESZS020-13	Aeroacústica	3-0-5	Mecânica dos Fluidos Avançada	Fundamentos de acústica e propagação de ondas sonoras aplicados a escoamentos internos e externos. Analogia acústica de Lighthill. Irradiação de ondas acústicas por superfície sólidas. Efeitos de escoamento uniforme e não uniforme na propagação de ondas acústicas. Física de geração de ruído por jatos de fluídos. Teoria de geração de ruído no bordo de fuga de asas. Caracterização e estimação de fontes de ruído encontradas em turbomáquinas e aeronaves. Técnicas de redução de ruído gerado por aeronaves.	"CREMER, Lothar; HECKL, M; PETERSSON, B A T. Structure-borne sound: Structural vibrations and sound radiation at audio frequences. 3 ed. Berlim: Springer, 2005.  607 p.
CRIGHTON, D G et al. Modern methods in analytical acoustics: lecture notes. London: Springer-Verlag, 1992. 738 p.
RAMAN, G. Computational Aeroacoustics. Brentwood: Multi-Science Publishing Co. Ltd, 2009."	"BLAKE, W. K. Mechanics of Flow-Induced Sound and Vibration: Complex Flow-Structure Interactions New York: Academic Press, 1986. (Applied Mathematics and Mechanics, vol 17).
BLEVINS, R. D. Flow-Induced Vibration. 2. ed. New York: Van Nostrand Reinhold, 1990.
HOWE, M S. Acoustics of fluid-structure interactions. Cambridge: Cambridge University, 1998. 560 p. (Cambridge monographs on mechanics).
______, M. S. Theory of vortex sound. Cambridge: Cambridge University Press, 2003. 216 p. (Cambridge texts in applied mathematics).
MUELLER, THOMAS J. Aeroacoustic measurements. Berlim: Springer, 2002. 313 p."
ESTS016-13	Aerodinâmica I	4-0-5	Mecânica dos Fluidos Avançada	Sustenção; Teoria do perfil delgado; Condição de Kutta-Jukowiski; Método das singularidades (fontes e vórtices); Método de transpiração; Transformação conforme; Solução numérica: soluções da equação de Poisson e método dos painéis. Teoria dos perfis NACA. Esteira. Aerodinâmica em regime supersônico. Efeitos da Turbulência.	"ANDERSON JR, John D. Fundamentals of aerodynamics. 4 ed. New York: McGraw-Hill, 2007. 1008 p. (McGraw-Hill series in aeronautical and aerospace engineering).
HOUGHTON, E L; CARPENTER, P W. Aerodynamics for engineering students. 5 ed. Oxford: Elsevier Science, 2003. 590 p.
KATZ, Joseph; PLOTKIN, Allen. Low speed aerodynamics. 2 ed. Cambridge, UK: Cambridge University Press, 2001. 613 p. (Cambridge aerospace series ; 13)."	"BARNARD, R. H. Road Vehicle Aerodynamic Design: An Introduction. Hertfordshire, UK: Mechaero Publishing, 2001. 286 p.
BERTIN, John J; CUMMINGS, Russell M. Aerodynamics for engineers. 5 ed. Upper Saddle River, EUA: Pearson; Prentice Hall, 2009. 732 p.
DRAGOS, Laz¿r. Mathematical methods in aerodynamics. Dordrecht: Kluwer Academic Publishers; Editura Academiei Române, 2003. 573 p.
KARAMCHETI, K. Principles of Ideal-Fluid Aerodynamics. 2. ed. Melbourne, FL: Krieger Publishing Company, 1980.
MILNE-THOMSON, L. M. Theoretical hydrodynamics. 5 ed. New York: Dover Publications, 1996. 743 p."
ESZS019-13	Aerodinâmica II	4-0-5	Aerodinâmica I	Método da linha de sustentação. Método da superfície de sustentação. Técnicas de análise de escoamento hipersônico.	"ABBOTT, I. H.; VON DOENHOFF, A. E. Theory of Wing Sections. New York: Dover Publications, 1959. 
ANDERSON J. D. Hypersonic and High Temperature Gas Dynamics. 2. ed. Reston, VA: AIAA, 2006. (Education Series).
BERTIN, J. J.; CUMMINGS, R. M. Aerodynamics for Engineers. 5. ed. New Jersey: Prentice Hall, 2008."	"DRAGOS L. Mathematical Methods in Aerodynamics. New York: Springer, 2004.
J.  CHATTOT J. J. Computational Aerodynamics and Fluid Dynamics. New York: Springer, 2004;
LEISHMAN, J. G. Principles of Helicopter Aerodynamics. 2. ed. New York: Cambridge University Press, 2006.
MILNE-THOMSON, L. M. Theoretical Aerodynamics, New York: Dover Publications, 1973.
SHYY, W.; LIAN, Y.; TANG, J.; VIEERU, D.; LIU H. Aerodynamics of Low Reynolds Number Flyers. New York: Cambridge University Press, 2007."
ESTS012-13	Aeroelasticidade	4-0-5	Mecânica dos Sólidos	Comportamento aeroelástico de veículos aeroespaciais e outras estruturas. Elasticidade estática e seu impacto no desempenho de superfícies de levantamento. Conceitos fundamentais de aerodinâmica não permanente e técnicas computacionais modernas. Aeroelasticidade dinâmica de uma seção típica de um veículo aeroespacial. Interação fluido-estrutura.	"BISPLINGHOFF, Raymond L; ASHLEY, Holt. Principles of aeroelasticity. Mineola, N.Y: Dover Publications, 2002. xi, 527 p. (Dover phoenix editions).
DOWELL, Earl H.; CLARK, Robert; COX, David. A modern course in aeroelasticity. 4 ed. Boston: Kluwer Academic Publishers, 2004. 746 p. (Solid mechanics and its applications.
FUNG, Y. C. An introduction to the theory of aeroelasticity. New York: Dover, 1993. 498 p."	"BISMARCK-NASR, Maher N. Structural dynamics in aeronautical engineering. São José dos Campos: American Institute of Aeronautics and Astronautics, Inc, 1999. 297 p. (AIAA education series).
BISPLINGHOFF, Raymond L; ASHLEY, Holt; HALFMAN, Robert L. Aeroelasticity. New York: Dover Publications, 1983. 860 p. (Dover books on Physics).
HODGES, Dewey H.; PIERCE, G. Alvin.. Introduction to structural dynamics and aeroelasticity. Cambridge: Cambridge, 2002. 170 p. (Cambridge aerospace series).
WRIGHT, Jan R; COOPER, Jonathan E. Introduction to aircraft aeroelasticity. Reston, Va: American Institute of Aeronautics and Astronautics, 2007. 499 p. (AIAA education series).
_______, Jan R; COOPER, Jonathan E. Introduction to aircraft aeroelasticity. Reston, Va: American Institute of Aeronautics and Astronautics, 2007. 499 p. (AIAA education series)."
ESTS002-13	Aeronáutica I-A	4-0-4	Não há	Conhecimentos técnicos sobre aviões: Anatomia do avião, sistemas e instrumentos de voo; princípios de operação do grupo moto propulsor; limitações e informações operacionais. Teoria de voo: Princípios de voo de aviões; introdução à aerodinâmica; noções de desempenho e limitações humanas.	"HOMA, J. M. Aeronaves e Motores - Conhecimentos Técnicos. São Paulo: Editora Asa, 2008. 
SAINTIVE, N. S. Teoria de Vôo. São Paulo: Editora Asa, 2001.
THEODORE, A. Introduction to the Aerodynamics of Flight, NASA SP-367, 1975. disponível em: <http://ntrs.nasa.gov/archive/nasa/casi.ntrs.nasa.gov/19760003955_1976003955.pdf>."	"HOMA, J. M. Aerodinâmica e Teoria de Vôo. São Paulo: Editora Asa, 2009.
PARADINES, L. Fundamentos da Teoria do Vôo. São Paulo: Edições Inteligentes, 2004.
RAYMER, D. P. Aircraft Design: A Conceptual Approach. 3. ed. Reston, VA: AIAA, 1999. (Education Series).
STINTON, D. The Design of the Airplane. 2, ed, Oxford: Wiley-Blackwell, 2001.
WELCH, John. F.; BJORK, Lewis. BJORK Linda. Van Sickle´s Modern Airmanship. New York: McGraw-Hill, 1999."
ESZS001-13	Aeronáutica I-B	4-0-4	Disciplinas Obrigatórias das Engenharias	Conhecimentos técnicos sobre helicópteros: anatomia do helicóptero, sistemas e instrumentos de voo; princípios de operação do grupo moto propulsor; limitações e informações operacionais. Teoria de voo: Princípios de voo de aeronaves de asas rotativas; introdução à aerodinâmica de helicópteros.	SEDDON, J.; NEWMAN, S. Basic Helicopter Aerodynamics. 2. ed. Reston, VA: AIAA; Blackwell Science, 2001. (Education Series	COYLE, S. The Art and Science of Flying Helicopters. Ames: Iowa State University Press, 1996.
